,formula,Top-1 Bravais,Top-1 Bravais.1,Top-1 Bravais.2,Top-1 Bravais.3,Top-1 Bravais.4,Top-1 Bravais.5,Top-1 Bravais.6,Top-1 Bravais.7,Top-1 Bravais.8,Top-1 Bravais.9,Top-1 Bravais.10,Top-1 Bravais.11,Top-1 Bravais.12,Top-1 Bravais.13,Top-1 Bravais.14,Top-2 Bravais,Top-2 Bravais.1,Top-2 Bravais.2,Top-2 Bravais.3,Top-2 Bravais.4,Top-2 Bravais.5,Top-2 Bravais.6,Top-2 Bravais.7,Top-2 Bravais.8,Top-2 Bravais.9,Top-2 Bravais.10,Top-2 Bravais.11,Top-2 Bravais.12,Top-2 Bravais.13,Top-2 Bravais.14
24,Br2S2,orthorhombic (P),0.31595308,8.10021374901123,8.697830344330091,9.035883582216185,90.0,90.0,90.0,636.6167166015755,Pnma,61,19,0.5039944052696228,0.1080842912197113,0.09375225007534027,monoclinic (P),0.27075216,11.265575767692246,11.185070832896685,9.82532966323813,90.0,113.56083383081932,90.0,1134.8442462235778,14,13,4,0.6214607954025269,0.22411005198955536,0.06824835389852524
25,SeSi2,cubic (P),0.20722425,10.560491027859173,10.560491027859173,10.560491027859173,90.0,90.0,90.0,1177.7478924912614,Pm-3n,205,218,0.32666119933128357,0.2568691074848175,0.22741080820560455,orthorhombic (P),0.13041958,13.726591756396987,11.799427980742617,5.861999607740563,90.0,90.0,90.0,949.4442231139132,62,19,61,0.3805669844150543,0.11838479340076447,0.0955212339758873
26,S2C,monoclinic (P),0.39923522,8.767177322448331,7.304895695892177,10.838210707259492,90.0,101.61371588765152,90.0,679.904396274111,P2_1/c,4,13,0.740482747554779,0.10155468434095383,0.0612417496740818,orthorhombic (P),0.2570637,8.038877577415828,6.0504787781591505,9.336753509229917,90.0,90.0,90.0,454.1308971699178,62,61,60,0.5560111999511719,0.19706754386425018,0.0794077143073082
27,Sn2S4,orthorhombic (P),0.36234158,8.462022645647112,6.470610572863118,7.25159988868699,90.0,90.0,90.0,397.0573867210372,Pnma,55,58,0.9035638570785522,0.017270945012569427,0.01600836217403412,monoclinic (P),0.25707754,10.463983882390425,7.0903380806162275,12.079276317381156,90.0,101.04521800467866,90.0,879.599015536872,13,14,10,0.49453622102737427,0.24291157722473145,0.09973999857902527
28,AgAs2,monoclinic (C),0.24638553,8.212953955862112,9.08538516131443,7.81321853495223,90.0,108.84615056610293,90.0,551.7502755752205,C2/c,12,9,0.5965664386749268,0.18541660904884338,0.15325845777988434,orthorhombic (P),0.20365839,7.2650077214331565,6.645041765111483,3.6549589142780574,90.0,90.0,90.0,176.44781895750808,58,62,19,0.41722652316093445,0.15854501724243164,0.08360475301742554
29,Pb2Si2,cubic (F),0.34717056,5.425089622515429,5.425089622515429,5.425089622515429,90.0,90.0,90.0,159.66905369565416,Fd-3m,216,225,0.9755913019180298,0.012504353187978268,0.010503208264708519,hexagonal (P),0.13325945,5.273044592649935,5.273044592649935,5.4587367480551885,90.0,90.0,120.0,131.4454841607652,187,191,189,0.24430781602859497,0.20927390456199646,0.1556028127670288
30,SnPb,cubic (F),0.57370436,5.470246079967272,5.470246079967272,5.470246079967272,90.0,90.0,90.0,163.68941279600648,Fm-3m,216,227,0.9976599216461182,0.0012330650351941586,0.000694675138220191,hexagonal (P),0.18790577,3.64267107725415,3.64267107725415,3.789953090393663,90.0,90.0,120.0,43.55162672014131,191,194,187,0.7808285355567932,0.1677611768245697,0.023982703685760498
31,CuS2,cubic (P),0.8477508,5.684674361760983,5.684674361760983,5.684674361760983,90.0,90.0,90.0,183.703222806936,Pa-3,218,198,0.9738025665283203,0.009319301694631577,0.007903620600700378,orthorhombic (P),0.038964596,8.386868465285916,7.021242671848341,7.662443935028157,90.0,90.0,90.0,451.2125029791598,62,19,61,0.4460693597793579,0.15805450081825256,0.12971600890159607
32,TaP2,monoclinic (C),0.28529218,15.554030215961687,11.770334589900965,6.027134976508722,90.0,98.83823803892534,90.0,1090.3226102883793,C2/c,12,8,0.6220270395278931,0.2031877636909485,0.07203754782676697,orthorhombic (P),0.2225672,14.308720396995914,4.282530137930207,5.377452010704776,90.0,90.0,90.0,329.51695720305173,62,58,59,0.8302857875823975,0.09782818704843521,0.02063225582242012
33,S4C,monoclinic (P),0.40834397,10.08828599986004,7.931383796395217,11.976471037287926,90.0,101.13695256572584,90.0,940.240005960698,P2_1/c,13,4,0.5691146850585938,0.21581575274467468,0.10113365203142166,orthorhombic (P),0.22508928,8.685996040603744,7.6005975914141795,10.291107720457429,90.0,90.0,90.0,679.4061767538549,62,61,19,0.3590388000011444,0.251925528049469,0.0927724689245224
