,formula,Top-1 Bravais,Top-1 Bravais.1,Top-1 Bravais.2,Top-1 Bravais.3,Top-1 Bravais.4,Top-1 Bravais.5,Top-1 Bravais.6,Top-1 Bravais.7,Top-1 Bravais.8,Top-1 Bravais.9,Top-1 Bravais.10,Top-1 Bravais.11,Top-1 Bravais.12,Top-1 Bravais.13,Top-1 Bravais.14,Top-2 Bravais,Top-2 Bravais.1,Top-2 Bravais.2,Top-2 Bravais.3,Top-2 Bravais.4,Top-2 Bravais.5,Top-2 Bravais.6,Top-2 Bravais.7,Top-2 Bravais.8,Top-2 Bravais.9,Top-2 Bravais.10,Top-2 Bravais.11,Top-2 Bravais.12,Top-2 Bravais.13,Top-2 Bravais.14
23,ZnP,tetragonal (P),0.3305604,7.259273773876043,7.259273773876043,13.538432739067883,90.0,90.0,90.0,713.4355444674304,P4_2/nmc,92,84,0.9613078832626343,0.013317816890776157,0.008314678445458412,tetragonal (I),0.12315132,5.366252254657697,5.366252254657697,8.889125067885287,90.0,90.0,90.0,255.97714126141798,98,110,122,0.29073336720466614,0.2466239333152771,0.2430642694234848
24,Se2O4,monoclinic (P),0.33974412,9.11540575832184,6.429003365603531,8.975000271230586,90.0,104.23676237033732,90.0,509.80824540264183,P2_1/c,13,4,0.8644804358482361,0.0507969856262207,0.03782396763563156,orthorhombic (P),0.275397,6.326592107628501,8.350289250306496,6.434732365414288,90.0,90.0,90.0,339.9396657899213,19,62,61,0.2623952031135559,0.14108696579933167,0.13894720375537872
25,AuSb,hexagonal (P),0.40979195,3.8010148404680835,3.8010148404680835,5.2017002903196445,90.0,90.0,120.0,65.08412758187035,P6_3/mmc,164,186,0.8776177167892456,0.0668955072760582,0.019781865179538727,orthorhombic (P),0.20274803,5.292537984900762,5.765451301674772,3.9086846822658217,90.0,90.0,90.0,119.26909632119016,58,59,62,0.30071792006492615,0.2624945342540741,0.11479154229164124
26,Sr2Bi,tetragonal (I),0.35043994,4.993269089724189,4.993269089724189,19.41654654628042,90.0,90.0,90.0,484.1076329999339,I4/mmm,140,141,0.9463738799095154,0.042703382670879364,0.00295880064368248,orthorhombic (P),0.32109565,12.180085711844587,9.254736250586632,7.274683418448361,90.0,90.0,90.0,820.027636446655,62,55,52,0.9642465114593506,0.01810598187148571,0.009595474228262901
27,MnS5,monoclinic (C),0.29146814,10.00466657748865,10.930747317832664,8.32533945179563,90.0,100.26555314795527,90.0,895.8723860988881,C2/m,15,9,0.5515132546424866,0.2350132316350937,0.09587863832712173,monoclinic (P),0.16038245,7.323067154441341,8.111832222466951,8.361570317392406,90.0,102.29419640788507,90.0,485.315580099153,14,13,4,0.5017791986465454,0.26394718885421753,0.08494187891483307
28,NbTe,orthorhombic (P),0.3704457,11.469853432076755,12.862824953699338,6.3140124752491875,90.0,90.0,90.0,931.5360433002996,Pnma,55,51,0.2739631235599518,0.2367473989725113,0.08995417505502701,hexagonal (P),0.2988989,10.191208124280731,10.191208124280731,3.633502958473812,90.0,90.0,120.0,326.81914649244595,176,187,174,0.9902832508087158,0.006341197993606329,0.001231459784321487
29,CrS3,monoclinic (C),0.2827177,7.595264044417298,6.762973081788203,11.366820657131383,90.0,98.49529273629238,90.0,577.4682772924185,C2/m,15,5,0.7734488844871521,0.10318014770746231,0.06103198230266571,monoclinic (P),0.18360852,8.763349942693562,5.689477473023451,9.398308985466967,90.0,96.99882841942566,90.0,465.0975544546974,13,14,4,0.41430315375328064,0.3453446924686432,0.06685809046030045
30,NbO2,orthorhombic (P),0.17711768,9.995085063268526,13.387825057889941,4.358033367418109,90.0,90.0,90.0,583.1591232341924,Pmmm,55,51,0.22671161592006683,0.21536169946193695,0.21327194571495056,tetragonal (I),0.15932266,12.73981256555565,12.73981256555565,4.906396560362389,90.0,90.0,90.0,796.3220184189157,88,87,82,0.36375299096107483,0.15555311739444733,0.10523887723684311
31,Li2O4,orthorhombic (P),0.1693663,5.788373561770562,6.490200697078353,4.065477475431911,90.0,90.0,90.0,152.730663057082,Pnma,59,19,0.527368426322937,0.06466362625360489,0.052913591265678406,monoclinic (P),0.1585683,6.489469391727295,4.730829577198824,8.655777208976556,90.0,101.18531009283784,90.0,260.68962531070554,14,11,4,0.6575009822845459,0.09247632324695587,0.08856044709682465
32,MoS2,hexagonal (P),0.512638,3.4221435332792063,3.4221435332792063,13.514802252928812,90.0,90.0,120.0,137.06821881319829,P6_3/mmc,182,164,0.8845206499099731,0.037757571786642075,0.023165136575698853,rhombohedral (P),0.29646975,6.268925447985562,6.268925447985562,6.268925447985562,52.18600354745727,52.18600354745727,52.18600354745727,142.21980561015528,148,160,166,0.7133564949035645,0.26289528608322144,0.01645936258137226
33,W2F4,cubic (P),0.33321917,4.10784322755331,4.10784322755331,4.10784322755331,90.0,90.0,90.0,69.3172910974861,Pm-3m,201,224,0.9987809062004089,0.0005304077640175819,0.00025743068545125425,tetragonal (P),0.21866603,6.5758322603213895,6.5758322603213895,4.342990135179729,90.0,90.0,90.0,187.79771157436667,136,129,75,0.7735204696655273,0.09565512835979462,0.05341779440641403
34,Se2Cl,monoclinic (P),0.38782528,10.483484029211736,10.506315092105586,9.428765084493874,90.0,108.84450678890761,90.0,982.8448882478028,P2_1/c,13,4,0.7957788705825806,0.10146308690309525,0.04607435315847397,orthorhombic (P),0.25980732,8.762422133737095,9.716555748624348,10.096350099724392,90.0,90.0,90.0,859.6089333049811,62,19,61,0.24120479822158813,0.18622751533985138,0.17943550646305084
35,SN2,orthorhombic (P),0.2840818,7.116199622839106,7.775762562338527,7.994799540669445,90.0,90.0,90.0,442.383267321868,Pnma,19,61,0.612727165222168,0.10173367708921432,0.05367737263441086,monoclinic (P),0.2583465,5.892115275865687,7.3746600668135835,7.837093640925025,90.0,102.14056110327986,90.0,332.92379749672494,14,4,13,0.8325376510620117,0.054584793746471405,0.03962427377700806
36,CeSi2,tetragonal (I),0.842986,4.145180201305389,4.145180201305389,14.779240890321768,90.0,90.0,90.0,253.94458594473372,I4_1/amd,109,107,0.9950130581855774,0.004168094135820866,0.00023832089209463447,hexagonal (P),0.07499854,3.7968970444203176,3.7968970444203176,3.8558721579269584,90.0,90.0,120.0,48.14053365204655,191,164,194,0.9969663023948669,0.0017998104449361563,0.0004009525291621685
37,N2C2,cubic (F),0.1982123,0.0035144314762355433,0.0035144314762355433,0.0035144314762355433,90.0,90.0,90.0,4.3407546566080326e-08,F-43c,203,202,0.9303234219551086,0.0695883184671402,8.197509305318817e-05,hexagonal (P),0.15130022,9.2849585742777,9.2849585742777,11.312057039880633,90.0,90.0,120.0,844.5632094153517,176,159,147,0.9767659902572632,0.00920066051185131,0.008849374018609524
38,Ni3Se4,monoclinic (C),0.5298571,10.067902002139554,4.404680426018316,7.312622476618538,90.0,112.31524153658732,90.0,299.9986657379976,C2/m,15,5,0.8904688358306885,0.062235478311777115,0.028198568150401115,hexagonal (P),0.27581465,3.7786472081398284,3.7786472081398284,5.7105545805541755,90.0,90.0,120.0,70.61250372685753,194,164,186,0.5375797748565674,0.4018048942089081,0.01523985993117094
39,SbS,orthorhombic (P),0.3925711,10.08099443789319,4.693190870948623,11.435108605033523,90.0,90.0,90.0,541.0182135644776,Pnma,19,58,0.6647502779960632,0.07862278819084167,0.06476332992315292,monoclinic (P),0.24770674,11.885806328115713,10.518867975386911,11.86887963253878,90.0,103.13276430461873,90.0,1445.09950567734,14,11,4,0.7690141201019287,0.09280616044998169,0.0832865983247757
40,WBi,orthorhombic (P),0.23830111,9.29515092036483,6.96648311719244,7.738949977787378,90.0,90.0,90.0,501.13192888269083,Pnnm,62,17,0.8308860659599304,0.08034244924783707,0.0588536262512207,hexagonal (P),0.23588333,4.854703537904984,4.854703537904984,5.108359043185445,90.0,90.0,120.0,104.26474224366281,194,193,191,0.7760009765625,0.22248145937919617,0.0004611232434399426
41,Cl6P3,monoclinic (P),0.33503285,9.425716508279105,11.398028040153891,10.161674666987128,90.0,102.9039247047794,90.0,1064.1449737925434,P2_1/c,4,11,0.9039716124534607,0.03165339678525925,0.03062092326581478,orthorhombic (P),0.27972588,10.251063132198022,9.962514528410276,10.452858548655538,90.0,90.0,90.0,1067.5124514699853,62,61,19,0.3961234390735626,0.15991568565368652,0.13299067318439484
42,WO2,orthorhombic (P),0.18426064,5.452588128518706,42.292766831538096,5.466244147394178,90.0,90.0,90.0,1260.5434412285688,Pbcn,62,57,0.24820998311042786,0.22540903091430664,0.06817907094955444,monoclinic (P),0.1830066,8.848368637125231,5.904554991479666,10.071734931187214,90.0,102.474551631717,90.0,513.7820165114149,13,10,14,0.8044534921646118,0.11674278974533081,0.03018810786306858
43,HfN2,hexagonal (P),0.34208864,3.610693944386826,3.610693944386826,5.466126495363419,90.0,90.0,120.0,61.715132348012474,P6_3/mmc,164,186,0.476040780544281,0.18317052721977234,0.12178013473749161,orthorhombic (P),0.09976305,5.056153690320052,5.599426132983172,6.080785046672804,90.0,90.0,90.0,172.15650525949903,62,58,61,0.6972668766975403,0.1723262071609497,0.026158880442380905
44,Si2F5,monoclinic (P),0.22896609,7.92464084950154,9.638690334515786,10.371008194137682,90.0,100.64294929683089,90.0,778.5428067357617,P2_1/c,10,11,0.8804750442504883,0.03745393455028534,0.02671586535871029,orthorhombic (P),0.19214594,7.716708012786692,7.378972521835616,7.121363920787134,90.0,90.0,90.0,405.5002633908179,62,61,19,0.6649240851402283,0.17144569754600525,0.036012835800647736
45,PbN2,cubic (F),0.23888198,5.883206787967223,5.883206787967223,5.883206787967223,90.0,90.0,90.0,203.630271743406,Fm-3m,227,216,0.9839370250701904,0.006491903215646744,0.003583296434953809,orthorhombic (P),0.16740152,9.187754362976007,9.63479923495885,8.792810350577506,90.0,90.0,90.0,778.3586412659163,62,55,58,0.8915106654167175,0.02069048210978508,0.018196145072579384
46,P2F,monoclinic (P),0.3700953,8.800441248204654,10.653016169959349,10.096993956625129,90.0,101.69619031279942,90.0,926.95068825347,P2_1/c,11,4,0.8911073803901672,0.05144413188099861,0.03507794439792633,orthorhombic (P),0.241609,8.945783752112371,9.240623784101997,9.02654656719207,90.0,90.0,90.0,746.176060910001,62,61,19,0.5538212060928345,0.19210198521614075,0.06476868689060211
47,I6N4,orthorhombic (P),0.32517558,8.357287086388036,8.360650981010718,7.434154831181377,90.0,90.0,90.0,519.4419462090975,Pnma,19,61,0.6976101398468018,0.11349254846572876,0.057620301842689514,monoclinic (P),0.19720471,7.542940466000596,8.204213830944546,9.684154366134306,90.0,107.94882616169791,90.0,570.1268862224905,14,4,11,0.8192341327667236,0.07957212626934052,0.05709592625498772
48,SnCl,orthorhombic (P),0.39153427,9.406113203983736,7.266680634280618,6.101627986503752,90.0,90.0,90.0,417.0537209105177,Pnma,58,61,0.5039950013160706,0.14768004417419434,0.07411842048168182,cubic (P),0.12655541,11.645383712462456,11.645383712462456,11.645383712462456,90.0,90.0,90.0,1579.2882674340499,205,198,223,0.6250566840171814,0.23231202363967896,0.10037638992071152
49,Mo2Bi2,hexagonal (P),0.2144651,4.149349597268761,4.149349597268761,5.194142640574358,90.0,90.0,120.0,77.44699261006019,P6_3/m,194,193,0.7531692385673523,0.201807901263237,0.03200587257742882,orthorhombic (P),0.1762898,9.155998491915797,9.584898252643562,6.0953006507934555,90.0,90.0,90.0,534.9194034105012,62,58,55,0.5125905275344849,0.24349859356880188,0.09982363879680634
50,SnN2,hexagonal (P),0.27836877,5.884989597803711,5.884989597803711,5.034172767100603,90.0,90.0,120.0,150.99068198580332,P6_3mc,174,194,0.5406613349914551,0.07557117938995361,0.05471012368798256,cubic (F),0.18172623,6.795000023766354,6.795000023766354,6.795000023766354,90.0,90.0,90.0,313.73891316702213,216,227,225,0.5231946110725403,0.3545869290828705,0.10327565670013428
