22,nelements,Formula,Spacegroup,Bandgap (meV),Is gap direct?,Discovery process,Decomposition energy (meV/atom),Exfoliation energy (meV/atom),Obtained from
2dm-4175,4,LiMnPO4,P2_1/m,3210,TRUE,top-down,123,115,mp-859134
2dm-4177,4,CeBiS2O,P4/nmm,0,FALSE,top-down,62,71,mp-610469
2dm-4186,4,Li2VO2F,Pmma,601,FALSE,top-down,185,209,mp-763347
2dm-4189,4,SnHC2O3,C2/m,2596,TRUE,top-down,230,49,mp-697873
2dm-4194,4,CuBi(PSe3)2,P3,1276,FALSE,top-down,0,,mp-683998
2dm-4195,4,K2PAuS4,P2_1/m,1041,FALSE,top-down,162,,mp-9509
2dm-4196,4,V2Te2O7F2,P-1,2490,FALSE,top-down,83,135,mp-566762
2dm-4201,4,TaNi2TeSe,Pmma,0,FALSE,top-down,0,51,mp-622009
2dm-4204,4,SrH2(SeO3)2,P-1,4166,TRUE,top-down,36,68,mp-753175
2dm-4205,4,Y2Mn2S2O5,P4/mmm,2,FALSE,top-down,381,,mp-656880
2dm-4206,4,SrP2(H2O3)2,P-1,5205,FALSE,top-down,29,54,mp-765294
2dm-4208,4,Bi4Te2Br2O9,P4mm,1164,TRUE,top-down,169,38,mp-557322
2dm-4214,4,BaSbSe2F,P-1,1323,FALSE,top-down,12,48,mp-558946
2dm-4221,4,KRe2O4F7,P2,3155,FALSE,top-down,0,38,mp-555490
2dm-4227,4,Li2Fe(PO4)2,P-3,0,FALSE,top-down,510,487,mp-762553
2dm-4228,4,TeMoCl7O,P2_1/c,2477,FALSE,top-down,21,,mp-617022
2dm-4229,4,RbReSO3,P2_1/c,2750,TRUE,top-down,87,60,mp-559212
2dm-4230,4,InH5(NF)2,P2_1/c,3865,TRUE,top-down,0,,mp-733932
2dm-4231,4,CdSb2Se3Br2,P2_1/m,1188,FALSE,top-down,24,129,mp-567556
2dm-4249,4,BaP2(HO)4,P4/nbm,5243,FALSE,top-down,0,26,mp-642646
2dm-4258,4,MnBiSe2I,P2/m,1,FALSE,top-down,135,234,mp-569109
2dm-4259,4,CoSb2Br2O3,P-1,2359,FALSE,top-down,0,50,mp-561493
2dm-4260,4,Li2Mn(PO4)2,P-1,1361,FALSE,top-down,130,116,mp-765793
2dm-4262,4,Ba2Tl2CuO6,P4/mmm,0,FALSE,top-down,448,508,mp-550722
2dm-4266,4,Li8Cr3TeO12,P2,740,FALSE,top-down,172,,mp-767678
2dm-4267,4,AgCSN,Pmn2_1,2726,TRUE,top-down,186,146,mp-562550
2dm-4271,4,Li4Ni(PO3)6,P1,3083,FALSE,top-down,97,99,mp-861126
2dm-4283,4,K2Ca(NO2)4,C2/m,2407,TRUE,top-down,232,40,mp-557597
2dm-4287,4,HgC2(SN)2,C2/m,2504,FALSE,top-down,232,,mp-655275
2dm-4290,4,AgCNO,P2_1/m,3202,FALSE,top-down,181,111,mp-6781
2dm-4295,4,Tl2Pt(CN)4,P2_1/c,2943,FALSE,top-down,98,94,mp-621092
2dm-4300,4,LiCu(PO3)3,P-1,401,FALSE,top-down,71,79,mp-758797
2dm-4302,4,SrH9ClO5,P-1,4773,FALSE,top-down,44,51,mp-541339
2dm-4304,4,CdSbS2Br,P2/m,1136,FALSE,top-down,113,207,mp-559588
2dm-4312,4,CaGe2WO6,P2/c,2292,FALSE,top-down,98,38,mvc-8404
2dm-4314,4,Cu3Te2(BrO3)2,C2/m,0,FALSE,top-down,17,41,mp-572313
2dm-4315,4,CaBiClO2,P2_1/m,3197,FALSE,top-down,54,235,mp-553025
2dm-4319,4,LiTeHO4,Pm,2018,FALSE,top-down,133,,mp-756477
2dm-4326,4,CuH6BrN2,P2/c,2159,TRUE,top-down,22,,mp-866097
2dm-4332,4,VPbClO3,P2_1/m,2421,FALSE,top-down,34,124,mp-566304
2dm-4340,4,Hg3AsS4Br,P3m1,2076,TRUE,top-down,19,144,mp-555074
2dm-4346,4,Sr2GaNi2O7,Pm,0,FALSE,top-down,272,-1,mvc-890
2dm-4360,4,LiMn7O7F,P3m1,0,FALSE,top-down,304,,mp-764671
2dm-4383,4,Sr2Cu(BrO)2,P4/mmm,0,FALSE,top-down,0,48,mp-546898
2dm-4386,4,ZnGe2WO6,P2/c,2409,FALSE,top-down,155,43,mvc-8429
2dm-4391,4,VINCl3,P-1,1065,FALSE,top-down,151,,mp-570829
2dm-4394,4,LiP(HO)2,Cmme,5411,TRUE,top-down,15,26,mp-642650
2dm-4401,4,NaB(CO2)4,Pmma,2926,TRUE,top-down,93,75,mp-559618
