material_id,nelements,Formula,Spacegroup,Bandgap (meV),Is gap direct?,Discovery process,Decomposition energy (meV/atom),Exfoliation energy (meV/atom),Obtained from
2dm-1093,2,TlSb3,P-3m1,5,FALSE,bottom-up,283,381,
2dm-1094,2,AsI3,Pmn2_1,1618,FALSE,bottom-up,53,129,2dm-3709
2dm-1095,2,AgCl2,P2_1/c,0,FALSE,bottom-up,0,101,2dm-3371
2dm-1096,2,ZnCl2,P-3m1,4516,FALSE,bottom-up,68,,2dm-4402
2dm-1097,2,RhI4,P2_1/c,0,FALSE,bottom-up,0,,2dm-5163
2dm-1098,2,TeOs,P4/nmm,0,FALSE,bottom-up,416,,2dm-5485
2dm-1099,2,AlCl,Aem2,2465,FALSE,bottom-up,695,81,
2dm-11,2,SrO2,P4/mmm,2939,FALSE,bottom-up,91,217,2dm-4188
2dm-110,2,Te2Pb,P-3m1,0,FALSE,bottom-up,400,298,2dm-3203
2dm-1100,2,HPb3,P-3m1,0,FALSE,bottom-up,365,62,2dm-5083
2dm-1101,2,FeF3,P-31m,3684,FALSE,bottom-up,75,,2dm-4487
2dm-1102,2,Be2P,P-3m1,0,FALSE,bottom-up,731,,2dm-3665
2dm-1103,2,TcBr4,P2_1/c,0,FALSE,bottom-up,83,,2dm-5281
2dm-1104,2,TlTe,P-3m1,503,FALSE,bottom-up,166,99,2dm-4063
2dm-1105,2,PdN2,P-3m1,0,FALSE,bottom-up,1658,181,2dm-5830
2dm-1106,2,Ta2O5,Pmn2_1,2662,FALSE,bottom-up,146,,2dm-5856
2dm-1107,2,AuI,Pmma,0,FALSE,bottom-up,263,88,2dm-5106
2dm-1108,2,RuPb2,P4/mmm,0,FALSE,bottom-up,371,144,2dm-3563
2dm-1109,2,BeC2,P-3m1,0,FALSE,bottom-up,2690,1928,2dm-5517
2dm-111,2,InF3,P-31m,4889,FALSE,bottom-up,82,60,2dm-3681
2dm-1110,2,CuI2,C2/m,0,FALSE,bottom-up,70,69,2dm-5086
2dm-1111,2,HfI3,P-1,328,FALSE,bottom-up,66,88,2dm-3805
2dm-1112,2,BeBr2,P-3m1,4227,FALSE,bottom-up,288,67,2dm-4717
2dm-1113,2,Sr5La,P1,0,FALSE,bottom-up,321,261,2dm-4891
2dm-1114,2,Sn2Ru,P4/mmm,0,FALSE,bottom-up,341,292,2dm-3563
2dm-1115,2,NiSe2,P2_1/c,1072,FALSE,bottom-up,57,211,2dm-3017
2dm-1116,2,BeAg,P6/mmm,0,FALSE,bottom-up,1090,629,2dm-5120
2dm-1117,2,TlBr3,C2/m,1724,FALSE,bottom-up,12,81,2dm-3681
2dm-1118,2,BiO2,Pmmn,320,FALSE,bottom-up,136,,2dm-3642
2dm-1119,2,PI3,Pmn2_1,1850,FALSE,bottom-up,24,85,2dm-3709
2dm-112,2,Be5Co,Pmc2_1,0,FALSE,bottom-up,440,313,2dm-5064
2dm-1120,2,CO,Cmme,5529,FALSE,bottom-up,694,35,2dm-3669
2dm-1121,2,AuF,Pmma,0,FALSE,bottom-up,293,135,2dm-5106
2dm-1122,2,Tc2Cl7,P2/c,96,FALSE,bottom-up,24,,2dm-4014
2dm-1123,2,Ga2Se3,P-62m,1969,TRUE,bottom-up,191,,2dm-3796
2dm-1124,2,CdF2,P-4m2,3854,FALSE,bottom-up,240,,2dm-4713
2dm-1125,2,CS2,P-3m1,0,FALSE,bottom-up,1422,70,2dm-4715
2dm-1126,2,BS,P-6m2,2786,FALSE,bottom-up,0,44,2dm-3099
2dm-1127,2,BiCl3,Pmmn,2917,FALSE,bottom-up,0,10,2dm-3709
